,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
157727,GCF_002948995.1,Pasteurella multocida strain:161215033201-1 Genome sequencing,,,Pathogen: clinical or host-associated sample from Pasteurella multocida,,homo sapiens,,,bilateral pneumonia,"lung, right",,,Pathogen.cl,True,
157824,GCF_900478175.1,NCTC_3000,,,NCTC10382,,homo sapiens,,,,infected finger,,,Generic,True,
158066,GCF_006382135.1,Staphylococcus pseudintermedius Genome sequencing and assembly,,,Microbe sample from Staphylococcus pseudintermedius,,homo sapiens,,,,hands,,,"Microbe, viral or environmental",True,
158075,GCF_006382315.1,Staphylococcus pseudintermedius Genome sequencing and assembly,,,Microbe sample from Staphylococcus pseudintermedius,,homo sapiens,,,,colonization of healthy nasal region,,,"Microbe, viral or environmental",True,
158086,GCF_006382545.1,Staphylococcus pseudintermedius Genome sequencing and assembly,,,Microbe sample from Staphylococcus pseudintermedius,,homo sapiens,,,,hands,,,"Microbe, viral or environmental",True,
158092,GCF_006406235.1,Staphylococcus pseudintermedius Genome sequencing and assembly,,,Microbe sample from Staphylococcus pseudintermedius,,homo sapiens,,,,sinusitis,,,"Microbe, viral or environmental",True,
158170,GCF_001606135.1,Burkholderia cenocepacia strain:895 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Burkholderia cenocepacia,,homo sapiens,,,Bacterial infection,cord blood,,,Pathogen.cl,True,
158386,GCF_010500755.1,Burkholderia cenocepacia strain:MS-2140 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Burkholderia cenocepacia,,homo sapiens,,,Cystic fibrosis,liver abcess in cystic fibrosis patient,,,Pathogen.cl,True,
158390,GCF_014357995.1,Genome sequencing of Burkholderia cenocepacia strain K56-2,,,Pathogen: clinical or host-associated sample from Burkholderia cenocepacia,,homo sapiens,,,cystic fibrosis,sputum from cystic fibrosis patient,,,Pathogen.cl,True,
158404,GCF_000981885.1,Burkholderia gladioli strain:SN82F6 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Burkholderia gladioli,,homo sapiens,,,acute sinusitis,ethmoid sinus,,,Pathogen.cl,True,
158691,GCF_002631225.1,Enterococcus faecium Genome sequencing and assembly,,,Timepoint: 3,,homo sapiens,,,,feces from hp_003,,,"Microbe, viral or environmental",True,
158692,GCF_002631295.1,Enterococcus faecium Genome sequencing and assembly,,,Timepoint: 1,,homo sapiens,,,,feces from hp_003,,,"Microbe, viral or environmental",True,
158919,GCF_000172615.1,Commensal strain,,,Sample from Enterococcus faecium E980,,homo sapiens,,,,healthy human volunteer,,,Generic,True,
159022,GCF_001703615.1,Streptococcus mutans strain:AD01 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,dental plaque,tooth,,,Pathogen.cl,True,
159027,GCF_002212845.1,Streptococcus mutans Genome sequencing and assembly,,,Microbe sample from Streptococcus mutans,,homo sapiens,,,,a caries-active dental patient,,,"Microbe, viral or environmental",True,
159030,GCF_002212905.1,Streptococcus mutans Genome sequencing and assembly,,,Microbe sample from Streptococcus mutans,,homo sapiens,,,,carious dentine,,,"Microbe, viral or environmental",True,
159035,GCF_002213005.1,Streptococcus mutans Genome sequencing and assembly,,,Microbe sample from Streptococcus mutans,,homo sapiens,,,,carious cavity from patient susceptible to dental caries,,,"Microbe, viral or environmental",True,
159038,GCF_002995555.1,Streptococcus mutans strain:LAR01 | isolate:saliva from healthy adult Genome sequencing,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,none,saliva from healthy adult,,,Pathogen.cl,True,
159046,GCF_011765485.1,Streptococcus mutans from endodontic infections,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,endodontic infection; Secondary endodontic infection - Patient #4,root canal,,,Pathogen.cl,True,
159047,GCF_011765505.1,Streptococcus mutans from endodontic infections,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,endodontic infection; Secondary endodontic infection - Patient #1,root canal,,,Pathogen.cl,True,
159048,GCF_011765525.1,Streptococcus mutans from endodontic infections,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,endodontic infection; primary endodontic infection - Patient #6,root canal,,,Pathogen.cl,True,
159049,GCF_011765545.1,Streptococcus mutans from endodontic infections,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,endodontic infection; primary endodontic infection - Patient #1,root canal,,,Pathogen.cl,True,
159053,GCF_012641545.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,tongue,,,Pathogen.cl,True,
159054,GCF_012641565.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159055,GCF_012641575.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159056,GCF_012641605.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,tongue,,,Pathogen.cl,True,
159057,GCF_012641615.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159058,GCF_012641625.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159059,GCF_012641665.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159060,GCF_012641765.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159061,GCF_012641775.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159062,GCF_012641805.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159064,GCF_012641845.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries Free,plaque,,,Pathogen.cl,True,
159065,GCF_012641855.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159066,GCF_012641885.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159067,GCF_012641905.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159069,GCF_012641935.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,tongue,,,Pathogen.cl,True,
159071,GCF_012641975.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159072,GCF_012642005.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159073,GCF_012642015.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,tongue,,,Pathogen.cl,True,
159074,GCF_012642035.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159076,GCF_012642085.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159077,GCF_012642105.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159078,GCF_012642125.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159079,GCF_012642145.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159080,GCF_012642165.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159081,GCF_012642185.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159082,GCF_012642205.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,tongue,,,Pathogen.cl,True,
159083,GCF_012642225.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159084,GCF_012642235.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159085,GCF_012642265.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries Free,plaque,,,Pathogen.cl,True,
159086,GCF_012642275.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159087,GCF_012642305.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries Free,plaque,,,Pathogen.cl,True,
159088,GCF_012642325.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159089,GCF_012642345.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159090,GCF_012642355.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159091,GCF_012642365.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries,plaque,,,Pathogen.cl,True,
159092,GCF_012642405.1,Streptococcus mutans from high Caries Risk Population,,,Pathogen: clinical or host-associated sample from Streptococcus mutans,,homo sapiens,,,Caries Free,plaque,,,Pathogen.cl,True,
159095,GCF_900636835.1,NCTC_3000,,,NCTC10832,,homo sapiens,,,,dental abscess,,,Generic,True,
159114,GCF_000347795.1,Streptococcus mutans 5DC8 Genome sequencing and assembly,,,Sample from Streptococcus mutans 5DC8,,homo sapiens,,,,root caries,,,Generic,True,
159120,GCF_000347855.1,Streptococcus mutans AC4446 Genome sequencing and assembly,,,Sample from Streptococcus mutans AC4446,,homo sapiens,,,,a confirmed case of infective endocarditis,,,Generic,True,
159121,GCF_000347875.1,Streptococcus mutans ATCC 25175 Genome sequencing and assembly,,,Sample from Streptococcus mutans ATCC 25175,,homo sapiens,,,,carious dentine,,,Generic,True,
159124,GCF_014621675.1,Streptococcus mutans B04Sm5 Genome sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Streptococcus mutans B04Sm5,,homo sapiens,,,,carious lesion,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-oral",True,
159146,GCF_000347815.1,Streptococcus mutans KK21 Genome sequencing and assembly,,,Sample from Streptococcus mutans KK21,,homo sapiens,,,,enamel caries of an adult,,,Generic,True,
159147,GCF_000347835.1,Streptococcus mutans KK23 Genome sequencing and assembly,,,Sample from Streptococcus mutans KK23,,homo sapiens,,,,enamel caries of a child,,,Generic,True,
160493,GCF_001718755.1,Burkholderia Genome sequencing and assembly,,,Pathogen: environmental/food/other sample from Burkholderia multivorans,,homo sapiens,,,,thigh biopsy,,,Pathogen.env,True,
160543,GCF_003019965.1,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Burkholderia multivorans,,homo sapiens,,,Infection with Burkholderia multivorans,cystic fibrosis patient,,,Pathogen.cl,True,
160544,GCF_003019965.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Burkholderia multivorans,,homo sapiens,,,Infection with Burkholderia multivorans,cystic fibrosis patient,,,Pathogen.cl,True,
160695,GCF_000959525.1,Burkholderia multivorans ATCC BAA-247 Genome sequencing,,,Microbe sample Burkholderia multivorans BAA-247,,,,,,human clinical sample (cystis fibrosis patient),,,"Microbe, viral or environmental",True,
160697,GCF_000182255.1,An opportunistic pathogen in cystic fibrosis patients,,,Generic sample from Burkholderia multivorans CGD1,,homo sapiens,,,,"chronic granulomatous disease patient at the nih clinical center in bethesda, md, usa",,,Generic,True,
160698,GCF_000182275.1,An opportunistic pathogen in cystic fibrosis patients,,,Generic sample from Burkholderia multivorans CGD2,,homo sapiens,,,,"chronic granulomatous disease patient at the nih clinical center in bethesda, md, usa",,,Generic,True,
160699,GCF_000182295.1,An opportunistic pathogen in cystic fibrosis patients,,,Generic sample from Burkholderia multivorans CGD2M,,homo sapiens,,,,"chronic granulomatous disease patient at the nih clinical center in bethesda, md, usa",,,Generic,True,
161044,GCF_900186865.1,NCTC_3000,,,NCTC10257,,homo sapiens,,,,mouth,,,Generic,True,
161092,GCF_001542395.1,Stenotrophomonas maltophilia clinical isolated strains Genome sequencing,,,Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia,,homo sapiens,,,unknown,perineum,,,Pathogen.cl,True,
161099,GCF_002205295.1,Stenotrophomonas Genome sequencing and assembly,,,Sample of Stenotrophomonas Maltophilia: 7141307,,homo sapiens,,,Unknown,thracheal aspirate,,,Pathogen.cl,True,
161170,GCF_002799105.1,Opportunistic pathogen Stenotrophomonas maltophilia,,,Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia,,homo sapiens,,,Chronic infection,pus from a wound,,,Pathogen.cl,True,
161173,GCF_002951115.1,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia,,homo sapiens,,,Colonization,respiratory cx,,,Pathogen.cl,True,
161174,GCF_002951115.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia,,homo sapiens,,,Colonization,respiratory cx,,,Pathogen.cl,True,
161175,GCF_003057835.2,Stenotrophomonas maltophilia Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia,,homo sapiens,,,Stenotrophomonas maltophilia in Cystic Fibrosis,sputum from cystic fibrosis patient,,,Pathogen.cl,True,
